time_us curve_nan curve_nan curve_nan curve_nan curve_nan
8.6466165414e+02 8.9026999348e-01 8.9918252554e-01 9.0537239390e-01 9.0037581790e-01 9.0402434032e-01
8.8345864662e+02 8.8875140106e-01 8.9785585765e-01 9.0426353438e-01 8.9935251154e-01 9.0315593349e-01
9.0225563910e+02 8.8720469252e-01 8.9650452885e-01 9.0313439700e-01 8.9831201174e-01 9.0227055655e-01
9.2105263158e+02 8.8563023023e-01 8.9512885632e-01 9.0198517400e-01 8.9725435308e-01 9.0136821215e-01
9.3984962406e+02 8.8402829744e-01 8.9372890354e-01 9.0081621765e-01 8.9617965654e-01 9.0044896100e-01
9.5864661654e+02 8.8239934793e-01 8.9230487488e-01 8.9962760670e-01 8.9508809599e-01 8.9951295008e-01
9.7744360902e+02 8.8074366727e-01 8.9085718721e-01 8.9841952867e-01 8.9397981938e-01 8.9856017588e-01
9.9624060150e+02 8.7906157605e-01 8.8938586547e-01 8.9719217622e-01 8.9285486557e-01 8.9759083192e-01
1.0150375940e+03 8.7735345634e-01 8.8789115912e-01 8.9594580599e-01 8.9171337799e-01 8.9660490616e-01
1.0338345865e+03 8.7561943868e-01 8.8637344035e-01 8.9468051724e-01 8.9055549067e-01 8.9560248193e-01
1.0526315789e+03 8.7386016949e-01 8.8483278705e-01 8.9339670661e-01 8.8938123606e-01 8.9458369293e-01
1.0714285714e+03 8.7207549524e-01 8.8326941245e-01 8.9209432865e-01 8.8819094873e-01 8.9354860867e-01
1.0902255639e+03 8.7026610456e-01 8.8168375652e-01 8.9077375073e-01 8.8698449307e-01 8.9249731935e-01
1.1090225564e+03 8.6843231919e-01 8.8007589715e-01 8.8943507934e-01 8.8576214907e-01 8.9142991457e-01
1.1278195489e+03 8.6657419602e-01 8.7844609963e-01 8.8807855435e-01 8.8452396155e-01 8.9034643960e-01
1.1466165414e+03 8.6469204107e-01 8.7679462619e-01 8.8670429157e-01 8.8327002306e-01 8.8924709401e-01
1.1654135338e+03 8.6278623433e-01 8.7512174795e-01 8.8531247392e-01 8.8200051197e-01 8.8813180904e-01
1.1842105263e+03 8.6085696023e-01 8.7342767774e-01 8.8390340850e-01 8.8071555568e-01 8.8700081165e-01
1.2030075188e+03 8.5890468350e-01 8.7171280472e-01 8.8247725163e-01 8.7941523922e-01 8.8585416638e-01
1.2218045113e+03 8.5692942862e-01 8.6997735493e-01 8.8103413429e-01 8.7809959465e-01 8.8469197024e-01
1.2406015038e+03 8.5493152428e-01 8.6822138167e-01 8.7957430033e-01 8.7676884502e-01 8.8351425415e-01
1.2593984962e+03 8.5291111100e-01 8.6644547709e-01 8.7809787832e-01 8.7542318167e-01 8.8232119825e-01
1.2781954887e+03 8.5086864951e-01 8.6464963139e-01 8.7660515721e-01 8.7406244788e-01 8.8111288709e-01
1.2969924812e+03 8.4880412902e-01 8.6283443638e-01 8.7509627944e-01 8.7268692253e-01 8.7988935526e-01
1.3157894737e+03 8.4671802312e-01 8.6099993834e-01 8.7357138635e-01 8.7129683326e-01 8.7865078820e-01
1.3345864662e+03 8.4461032469e-01 8.5914654306e-01 8.7203068348e-01 8.6989211122e-01 8.7739730483e-01
1.3533834586e+03 8.4248146355e-01 8.5727453549e-01 8.7047436746e-01 8.6847294071e-01 8.7612894615e-01
1.3721804511e+03 8.4033158130e-01 8.5538405191e-01 8.6890264201e-01 8.6703939178e-01 8.7484585795e-01
