time_us curve_3_3 curve_8_25 curve_16_5 curve_24_75 curve_33 curve_66 curve_165 curve_330
1.4822486058e-01 7.8864270961e-01 8.6745263971e-01 9.0173032222e-01 9.1641582987e-01 7.9536678611e-01 8.4864071282e-01 6.9837801320e-01 7.8155349416e-01
1.5388462287e-01 7.8740451154e-01 8.6694266846e-01 9.0056398047e-01 9.1601904583e-01 7.9519650987e-01 8.4761213048e-01 6.9815533202e-01 7.8091486438e-01
1.5976049539e-01 7.8621567153e-01 8.6616977068e-01 9.0018397011e-01 9.1532735094e-01 7.9530255723e-01 8.4743292067e-01 6.9779443209e-01 7.8021907932e-01
1.6586073002e-01 7.8504510132e-01 8.6542060797e-01 8.9957922736e-01 9.1459368389e-01 7.9489221234e-01 8.4731094683e-01 6.9634226925e-01 7.8002572008e-01
1.7219389371e-01 7.8428884491e-01 8.6453048378e-01 8.9896706379e-01 9.1400356291e-01 7.9388034754e-01 8.4597340467e-01 6.9640166070e-01 7.7983043417e-01
1.7876888054e-01 7.8337430900e-01 8.6426526805e-01 8.9795120261e-01 9.1341090019e-01 7.9253855077e-01 8.4460869636e-01 6.9603427203e-01 7.7968065475e-01
1.8559492419e-01 7.8118405148e-01 8.6361165846e-01 8.9667616788e-01 9.1241863963e-01 7.9132871159e-01 8.4361594745e-01 6.9570345133e-01 7.7857675667e-01
1.9268161092e-01 7.7987831866e-01 8.6251402461e-01 8.9601520548e-01 9.1156190989e-01 7.9061864049e-01 8.4298758556e-01 6.9587619928e-01 7.7722369431e-01
2.0003889303e-01 7.8015525662e-01 8.6123793786e-01 8.9506758018e-01 9.1043745731e-01 7.8904566212e-01 8.4222395685e-01 6.9391146134e-01 7.7600848540e-01
2.0767710283e-01 7.7885739351e-01 8.6042717620e-01 8.9432984730e-01 9.0933899492e-01 7.8644184304e-01 8.4124247142e-01 6.9345980950e-01 7.7569841508e-01
2.1560696716e-01 7.7938794171e-01 8.5909522077e-01 8.9309175422e-01 9.0835708012e-01 7.8598004444e-01 8.4074924012e-01 6.9373466183e-01 7.7551924490e-01
2.2383962244e-01 7.8008305109e-01 8.5809621889e-01 8.9173127281e-01 9.0704829176e-01 7.8493150450e-01 8.4028683317e-01 6.9363807539e-01 7.7496106080e-01
2.3238663034e-01 7.7881419052e-01 8.5710350744e-01 8.9048469628e-01 9.0635063211e-01 7.8343685245e-01 8.3902190364e-01 6.9400736322e-01 7.7441548371e-01
2.4125999397e-01 7.7854945980e-01 8.5577476522e-01 8.8926123928e-01 9.0513346175e-01 7.8099739323e-01 8.3743972813e-01 6.9360227656e-01 7.7385177217e-01
2.5047217477e-01 7.7778955567e-01 8.5471403232e-01 8.8849400941e-01 9.0375343864e-01 7.8004479455e-01 8.3596479806e-01 6.9229415044e-01 7.7322372555e-01
2.6003611002e-01 7.7768092562e-01 8.5311398501e-01 8.8683946716e-01 9.0221646346e-01 7.7985153045e-01 8.3445955339e-01 6.9170663105e-01 7.7170012538e-01
2.6996523097e-01 7.7578052563e-01 8.5084234565e-01 8.8539943606e-01 9.0104325601e-01 7.7885314810e-01 8.3353774838e-01 6.8978205147e-01 7.7035405821e-01
2.8027348174e-01 7.7461763380e-01 8.4899779210e-01 8.8415197701e-01 8.9978994032e-01 7.7763380646e-01 8.3300954243e-01 6.8898635891e-01 7.7037918565e-01
2.9097533888e-01 7.7376237693e-01 8.4692328841e-01 8.8233324888e-01 8.9816811721e-01 7.7653673425e-01 8.3168350797e-01 6.8758689009e-01 7.6908730372e-01
3.0208583170e-01 7.7198613088e-01 8.4482966388e-01 8.8070747969e-01 8.9655815051e-01 7.7390058041e-01 8.3013982177e-01 6.8452055787e-01 7.6842240339e-01
3.1362056340e-01 7.7038611181e-01 8.4225918558e-01 8.7908656810e-01 8.9498087537e-01 7.7352750009e-01 8.2952991078e-01 6.8423345050e-01 7.6726362208e-01
3.2559573296e-01 7.6951191994e-01 8.4076276256e-01 8.7696324916e-01 8.9375871767e-01 7.7159094003e-01 8.2818699855e-01 6.8232797449e-01 7.6536661077e-01
3.3802815788e-01 7.6910730889e-01 8.3970885675e-01 8.7515846008e-01 8.9173185279e-01 7.7166496398e-01 8.2649496469e-01 6.8061979354e-01 7.6474456543e-01
3.5093529783e-01 7.6750889994e-01 8.3739275721e-01 8.7335581657e-01 8.9039649209e-01 7.6989032347e-01 8.2454980830e-01 6.7958565008e-01 7.6373695836e-01
3.6433527916e-01 7.6560865150e-01 8.3505564536e-01 8.7160225170e-01 8.8822518363e-01 7.6963578109e-01 8.2235573224e-01 6.7889109368e-01 7.6270134650e-01
3.7824692033e-01 7.6334372807e-01 8.3373073067e-01 8.6944897812e-01 8.8667098065e-01 7.6770144366e-01 8.2074584809e-01 6.7905687596e-01 7.6210881945e-01
3.9268975837e-01 7.6200210569e-01 8.3257623971e-01 8.6755643138e-01 8.8464349182e-01 7.6594356410e-01 8.1917412521e-01 6.7739785677e-01 7.6197689498e-01
4.0768407631e-01 7.6050893565e-01 8.3057681872e-01 8.6526770710e-01 8.8264984560e-01 7.6349075167e-01 8.1763660532e-01 6.7721371315e-01 7.6111050307e-01
4.2325093164e-01 7.5996666816e-01 8.2856697129e-01 8.6292104892e-01 8.8039352284e-01 7.6241291147e-01 8.1670622738e-01 6.7623432450e-01 7.5979366657e-01
4.3941218591e-01 7.5726637444e-01 8.2772859778e-01 8.6177459534e-01 8.7843601113e-01 7.6184263271e-01 8.1558576732e-01 6.7579207295e-01 7.5775445007e-01
4.5619053543e-01 7.5464679618e-01 8.2574629284e-01 8.5950683464e-01 8.7708178333e-01 7.6122154162e-01 8.1421985497e-01 6.7558523395e-01 7.5711113668e-01
4.7360954313e-01 7.5229849373e-01 8.2325123880e-01 8.5817621966e-01 8.7569533216e-01 7.5923576219e-01 8.1208020311e-01 6.7631959645e-01 7.5610702186e-01
4.9169367167e-01 7.4814440992e-01 8.2137316768e-01 8.5640902247e-01 8.7315916199e-01 7.5681342635e-01 8.1094839400e-01 6.7405771995e-01 7.5362263875e-01
5.1046831777e-01 7.4665375832e-01 8.1979380549e-01 8.5452445825e-01 8.7151885443e-01 7.5530810284e-01 8.0903461688e-01 6.7306325035e-01 7.5165683599e-01
5.2995984789e-01 7.4540483283e-01 8.1737392828e-01 8.5285935663e-01 8.6888146227e-01 7.5327787075e-01 8.0672901848e-01 6.7178294219e-01 7.5007982448e-01
5.5019563525e-01 7.4372180059e-01 8.1571083760e-01 8.5011666555e-01 8.6651695755e-01 7.5142592963e-01 8.0513599340e-01 6.7134748696e-01 7.4802382434e-01
5.7120409831e-01 7.4030509352e-01 8.1403397542e-01 8.4694993889e-01 8.6404892107e-01 7.4850010139e-01 8.0257056947e-01 6.7011188213e-01 7.4673272254e-01
5.9301474061e-01 7.3897087723e-01 8.1211281480e-01 8.4412488788e-01 8.6090965784e-01 7.4821085989e-01 7.9964221283e-01 6.6864061903e-01 7.4474514462e-01
6.1565819227e-01 7.3827873662e-01 8.0897591859e-01 8.4144777327e-01 8.5855351224e-01 7.4572929914e-01 7.9809388020e-01 6.6397141177e-01 7.4386306105e-01
6.3916625296e-01 7.3559979949e-01 8.0781426651e-01 8.3976308369e-01 8.5550695047e-01 7.4627680686e-01 7.9604553928e-01 6.5996578440e-01 7.4131240781e-01
6.6357193660e-01 7.3518184268e-01 8.0492420925e-01 8.3706780525e-01 8.5263582175e-01 7.4457782992e-01 7.9359867243e-01 6.5712368860e-01 7.3929091686e-01
6.8890951767e-01 7.3397934084e-01 8.0298486719e-01 8.3452313878e-01 8.4926859495e-01 7.4159051747e-01 7.9103379169e-01 6.5670820018e-01 7.3735278622e-01
7.1521457940e-01 7.3101911114e-01 8.0053345080e-01 8.3144549890e-01 8.4640233060e-01 7.4039456949e-01 7.8756928792e-01 6.5375109906e-01 7.3565051924e-01
7.4252406371e-01 7.2999158688e-01 7.9738072385e-01 8.2830793701e-01 8.4307329590e-01 7.3852509873e-01 7.8482426186e-01 6.5346544039e-01 7.3325913464e-01
7.7087632309e-01 7.2563474161e-01 7.9369130493e-01 8.2549376693e-01 8.3972190245e-01 7.3584349786e-01 7.8051326902e-01 6.5168223880e-01 7.3061217343e-01
8.0031117447e-01 7.2275088583e-01 7.8948853766e-01 8.2216213471e-01 8.3651174894e-01 7.3073694429e-01 7.7785893289e-01 6.4828408444e-01 7.2815818456e-01
8.3086995514e-01 7.1825982812e-01 7.8634087605e-01 8.1901845860e-01 8.3308730146e-01 7.2870206239e-01 7.7286952439e-01 6.4683580674e-01 7.2676530124e-01
8.6259558078e-01 7.1470079890e-01 7.8248562666e-01 8.1505089498e-01 8.2903995690e-01 7.2442992521e-01 7.7186930236e-01 6.4409260204e-01 7.2333077195e-01
8.9553260578e-01 7.1161208875e-01 7.7959779451e-01 8.1074848594e-01 8.2396988412e-01 7.2077173282e-01 7.6756101204e-01 6.4286561775e-01 7.2100686544e-01
9.2972728574e-01 7.0756746403e-01 7.7518042772e-01 8.0798156133e-01 8.2058313531e-01 7.1913527416e-01 7.6585729079e-01 6.4068187587e-01 7.1925666644e-01
9.6522764249e-01 7.0405725455e-01 7.7266627455e-01 8.0471500193e-01 8.1657917390e-01 7.1687250178e-01 7.6234708003e-01 6.4105010520e-01 7.1663842219e-01
1.0020835315e+00 7.0153553051e-01 7.6893176651e-01 8.0132569415e-01 8.1341770448e-01 7.1379355140e-01 7.6054160712e-01 6.3777260507e-01 7.1351036783e-01
1.0403467119e+00 7.0045126757e-01 7.6544668916e-01 7.9711702428e-01 8.0883473682e-01 7.1139438044e-01 7.5636501504e-01 6.3145790295e-01 7.1031981660e-01
1.0800709192e+00 6.9746953175e-01 7.6102903635e-01 7.9209574878e-01 8.0457257914e-01 7.0839622602e-01 7.5117335062e-01 6.2843698230e-01 7.0801400766e-01
1.1213119407e+00 6.9608184201e-01 7.5796271166e-01 7.8786973889e-01 7.9982169182e-01 7.0729968178e-01 7.4743060502e-01 6.2367586240e-01 7.0519846912e-01
