time_us curve_2 curve_5 curve_7 curve_10 curve_20
1.3939393939e+01 4.7671904180e-03 1.6312517031e-02 2.4435333446e-02 4.2799489778e-02 9.6119420411e-02
1.4242424242e+01 4.6985196881e-03 1.5800637514e-02 2.3487192392e-02 4.1340510056e-02 9.4867823492e-02
1.4545454545e+01 4.4816236326e-03 1.5292250539e-02 2.3303260954e-02 4.0119983672e-02 9.3012460998e-02
1.4848484848e+01 4.3832939359e-03 1.4631993707e-02 2.2520510947e-02 3.9411492652e-02 9.1769221605e-02
1.5151515152e+01 4.1086618768e-03 1.4260572427e-02 2.2046138794e-02 3.8128492086e-02 8.8873266504e-02
1.5454545455e+01 3.9980760850e-03 1.3863013743e-02 2.1307241235e-02 3.7517965988e-02 8.6252989843e-02
1.5757575758e+01 3.7335715126e-03 1.3426242674e-02 2.0731090950e-02 3.6235477795e-02 8.4673684602e-02
1.6060606061e+01 3.6924095818e-03 1.3114912571e-02 2.0216535526e-02 3.5340776788e-02 8.2670267478e-02
1.6363636364e+01 3.6058520744e-03 1.2996991314e-02 1.9417697978e-02 3.4100342334e-02 8.1093287606e-02
1.6666666667e+01 3.4533627060e-03 1.2941392259e-02 1.9174594866e-02 3.3222670896e-02 7.9081610747e-02
1.6969696970e+01 3.5064202877e-03 1.2430939632e-02 1.8959249931e-02 3.2568461222e-02 7.7936560535e-02
1.7272727273e+01 3.6134846148e-03 1.1952044943e-02 1.8647736248e-02 3.1915516864e-02 7.6620809327e-02
1.7575757576e+01 3.5602717893e-03 1.1383663921e-02 1.8351637680e-02 3.1522142810e-02 7.4619689844e-02
1.7878787879e+01 3.5247707261e-03 1.1152029913e-02 1.7722152000e-02 3.0962233739e-02 7.2541329268e-02
1.8181818182e+01 3.4053227114e-03 1.0740547262e-02 1.6844160064e-02 2.9751104139e-02 7.0497031400e-02
1.8484848485e+01 3.1856829239e-03 1.0553070336e-02 1.6489589129e-02 2.8938100787e-02 6.9736191233e-02
1.8787878788e+01 3.0311106928e-03 1.0614378366e-02 1.6006709847e-02 2.8235251349e-02 6.8791068639e-02
1.9090909091e+01 2.9885496447e-03 1.0299742045e-02 1.5952466644e-02 2.7638346890e-02 6.7862966399e-02
1.9393939394e+01 2.9415702306e-03 1.0055231662e-02 1.5363555420e-02 2.6982296178e-02 6.6041322004e-02
1.9696969697e+01 2.8068206127e-03 9.4500627303e-03 1.5017280911e-02 2.6474469919e-02 6.4515769682e-02
2.0000000000e+01 2.8747089551e-03 9.3463789205e-03 1.4942923260e-02 2.6089625205e-02 6.3808042529e-02
2.0303030303e+01 2.8604225388e-03 9.2001917429e-03 1.4608031092e-02 2.5684377873e-02 6.2447226259e-02
2.0606060606e+01 2.6622499752e-03 9.2604216088e-03 1.4528195549e-02 2.5438820954e-02 6.1362097947e-02
2.0909090909e+01 2.6393113648e-03 9.0025307890e-03 1.4295131904e-02 2.4805802764e-02 5.9867224651e-02
2.1212121212e+01 2.6549511806e-03 8.9755705486e-03 1.4204648897e-02 2.4608545132e-02 5.8817851605e-02
2.1515151515e+01 2.7640383553e-03 8.9772385875e-03 1.4050384106e-02 2.4406330681e-02 5.7940237204e-02
2.1818181818e+01 2.5519993892e-03 8.7866058501e-03 1.3610728353e-02 2.3641906060e-02 5.7160231712e-02
2.2121212121e+01 2.5318812597e-03 8.7692252890e-03 1.3201925659e-02 2.2959983800e-02 5.6123418957e-02
2.2424242424e+01 2.4630918603e-03 8.7235934802e-03 1.3035489308e-02 2.2436145512e-02 5.5452955221e-02
2.2727272727e+01 2.3918861658e-03 8.6983573010e-03 1.2689604238e-02 2.1999493290e-02 5.4084022033e-02
2.3030303030e+01 2.4350945461e-03 8.6065993736e-03 1.2351118165e-02 2.1484102693e-02 5.3597552681e-02
2.3333333333e+01 2.4268651306e-03 8.2230910981e-03 1.2218790256e-02 2.1042128380e-02 5.3118321467e-02
2.3636363636e+01 2.3785695008e-03 8.0454507344e-03 1.2067697775e-02 2.0634051837e-02 5.2087434827e-02
2.3939393939e+01 2.3462195589e-03 7.7649412129e-03 1.1649952492e-02 2.0389118859e-02 5.0857009232e-02
2.4242424242e+01 2.2308648488e-03 7.5556036040e-03 1.1432757665e-02 1.9972618295e-02 5.0292358157e-02
2.4545454545e+01 2.3204586920e-03 7.4615786189e-03 1.1061124380e-02 1.9872216224e-02 4.9705218251e-02
2.4848484848e+01 2.1705641609e-03 7.2794082060e-03 1.1112377238e-02 1.9540672399e-02 4.8484798345e-02
2.5151515152e+01 2.1330370256e-03 7.1747721041e-03 1.0933321223e-02 1.8944706043e-02 4.7831431498e-02
2.5454545455e+01 2.1754360079e-03 7.0574086509e-03 1.0793505519e-02 1.8558790363e-02 4.7867571939e-02
2.5757575758e+01 2.1093797963e-03 6.8255660162e-03 1.0587432202e-02 1.8148517288e-02 4.7231081200e-02
2.6060606061e+01 2.1206550482e-03 6.8471812749e-03 1.0697674312e-02 1.7739961932e-02 4.6557917301e-02
