time_us curve_0 curve_0_5 curve_1 curve_5
2.7638190955e+01 1.6703350585e-02 1.0448200754e-02 1.7470522990e-02 5.3028462724e-02
2.8140703518e+01 1.6208108248e-02 1.0275611378e-02 1.6598946801e-02 5.3358272932e-02
2.8643216080e+01 1.5868666509e-02 9.9538335709e-03 1.6666668220e-02 5.2681842526e-02
2.9145728643e+01 1.5580250462e-02 9.9759110603e-03 1.6610249805e-02 5.1597772930e-02
2.9648241206e+01 1.4927260581e-02 9.8108670836e-03 1.5542020721e-02 5.0970501206e-02
3.0150753769e+01 1.5064661279e-02 9.6602539125e-03 1.5934240517e-02 4.8047511464e-02
3.0653266332e+01 1.4583164172e-02 9.3626905083e-03 1.5753909286e-02 4.8432355585e-02
3.1155778894e+01 1.4340758036e-02 9.3845069907e-03 1.5509681525e-02 4.6635423661e-02
3.1658291457e+01 1.4284903905e-02 9.1538997334e-03 1.6090712663e-02 4.4596659794e-02
3.2160804020e+01 1.3897393069e-02 9.1053572865e-03 1.5465601206e-02 4.5716778648e-02
3.2663316583e+01 1.3519067190e-02 8.9315629498e-03 1.5267596059e-02 4.4859202879e-02
3.3165829146e+01 1.3098330449e-02 8.8703466229e-03 1.4829699451e-02 4.4628645918e-02
3.3668341709e+01 1.2749033366e-02 8.9667730697e-03 1.4886345711e-02 4.1377922846e-02
3.4170854271e+01 1.2636066495e-02 8.5431482395e-03 1.5117825020e-02 4.2066500426e-02
3.4673366834e+01 1.2387526492e-02 8.5157961116e-03 1.4733954295e-02 4.3612100097e-02
3.5175879397e+01 1.2058576146e-02 8.5038699778e-03 1.3788379373e-02 4.1715703171e-02
3.5678391960e+01 1.1755997346e-02 8.5413177804e-03 1.4116910884e-02 4.1758644884e-02
3.6180904523e+01 1.1699403509e-02 8.5356690950e-03 1.4085626372e-02 4.0380604129e-02
3.6683417085e+01 1.1387791213e-02 8.1487045792e-03 1.3962297118e-02 4.3944257542e-02
3.7185929648e+01 1.1151216440e-02 8.1630002158e-03 1.4010284122e-02 4.1989555256e-02
3.7688442211e+01 1.0763916431e-02 7.7705925524e-03 1.4045565465e-02 4.3481380179e-02
3.8190954774e+01 1.0655253634e-02 7.8610234982e-03 1.4030043949e-02 4.0769047960e-02
3.8693467337e+01 1.0604985188e-02 7.9564731636e-03 1.3937354895e-02 4.2518320235e-02
3.9195979899e+01 1.0583004003e-02 7.8299628816e-03 1.3375146731e-02 4.1614420599e-02
3.9698492462e+01 1.0143863316e-02 7.8945843187e-03 1.2939956480e-02 3.9921608691e-02
4.0201005025e+01 9.9827931332e-03 7.7810861102e-03 1.2460229403e-02 3.8229071366e-02
4.0703517588e+01 9.6826336897e-03 7.5787127836e-03 1.3056540339e-02 4.0031047280e-02
4.1206030151e+01 9.4373353470e-03 7.4070777135e-03 1.2457532396e-02 4.0369878983e-02
4.1708542714e+01 9.3380988340e-03 7.2672257105e-03 1.2201133538e-02 3.7628730061e-02
4.2211055276e+01 9.2601723567e-03 7.3208774475e-03 1.1915710699e-02 3.9067713339e-02
4.2713567839e+01 9.0733417667e-03 7.1136850325e-03 1.1777409034e-02 3.8386810297e-02
4.3216080402e+01 9.0344004841e-03 7.2468101372e-03 1.2257861452e-02 3.8478614755e-02
4.3718592965e+01 9.0950395319e-03 7.2431301172e-03 1.1833778106e-02 3.8705951334e-02
4.4221105528e+01 8.9253024556e-03 7.1729426152e-03 1.1394750010e-02 3.9513765735e-02
4.4723618090e+01 8.7442818612e-03 6.9636400585e-03 1.1906028468e-02 3.7937070536e-02
4.5226130653e+01 8.7502267982e-03 7.0637787821e-03 1.1806794740e-02 3.6788752519e-02
4.5728643216e+01 8.7078764551e-03 6.8751658639e-03 1.1282899930e-02 3.6337398769e-02
4.6231155779e+01 8.3630278655e-03 6.8289956155e-03 1.1723948632e-02 3.3065708114e-02
4.6733668342e+01 8.2240639985e-03 6.7518656252e-03 1.1561165787e-02 3.1992924571e-02
4.7236180905e+01 8.0927435451e-03 6.7650128949e-03 1.1421274011e-02 3.3535903389e-02
4.7738693467e+01 8.0085026024e-03 6.5600531827e-03 1.1318048485e-02 3.4428700510e-02
4.8241206030e+01 7.7581741470e-03 6.4113776005e-03 1.0866495657e-02 3.5673741011e-02
4.8743718593e+01 7.5717769888e-03 6.5154274375e-03 1.0828534428e-02 3.3797283452e-02
4.9246231156e+01 7.6382478111e-03 6.1586329005e-03 1.1192985331e-02 3.3797247034e-02
4.9748743719e+01 7.4501467382e-03 6.3518802669e-03 1.0507644077e-02 3.2425027730e-02
5.0251256281e+01 7.3284608315e-03 6.3361106831e-03 1.0503981813e-02 3.1887007022e-02
5.0753768844e+01 7.2249290281e-03 6.1911473389e-03 1.0378391314e-02 3.0783530649e-02
5.1256281407e+01 7.1890467114e-03 6.0312863902e-03 1.0423522639e-02 2.7240912490e-02
5.1758793970e+01 7.3125628534e-03 6.0343899829e-03 1.0248018715e-02 2.8075483730e-02
5.2261306533e+01 7.2694965139e-03 5.7539363307e-03 9.9725084511e-03 2.6378372268e-02
5.2763819095e+01 7.0975163365e-03 5.8727521416e-03 9.8491883433e-03 2.6897299403e-02
5.3266331658e+01 6.9401141555e-03 5.7391681882e-03 9.3526297074e-03 2.5849072158e-02
5.3768844221e+01 6.8169726036e-03 5.7464209515e-03 9.4288821564e-03 2.7191323248e-02
5.4271356784e+01 6.8371206696e-03 5.4783743100e-03 9.4115783389e-03 2.6262839499e-02
5.4773869347e+01 6.6987770964e-03 5.5269802043e-03 9.8804826427e-03 2.6097297853e-02
5.5276381910e+01 6.6414720412e-03 5.5708827782e-03 9.7899240910e-03 2.4555340581e-02
5.5778894472e+01 6.7138216214e-03 5.4822692344e-03 9.6497275234e-03 2.5701741241e-02
5.6281407035e+01 6.5076848739e-03 5.5286590704e-03 9.6317463238e-03 2.7107616094e-02
5.6783919598e+01 6.7342263037e-03 5.3541533126e-03 9.4952282672e-03 2.7556342736e-02
5.7286432161e+01 6.4426628380e-03 5.3993547548e-03 9.5128357506e-03 2.7223024025e-02
5.7788944724e+01 6.3033830740e-03 5.4887310671e-03 9.6047733830e-03 2.6641956718e-02
5.8291457286e+01 6.1634020746e-03 5.4693978569e-03 9.7281534855e-03 2.6555566531e-02
5.8793969849e+01 5.9953355614e-03 5.2325039635e-03 9.4763863870e-03 2.7553831740e-02
5.9296482412e+01 5.9753974479e-03 5.2417595726e-03 9.6042808385e-03 2.6580621761e-02
5.9798994975e+01 5.9040131850e-03 5.1308177974e-03 8.9648641767e-03 2.5992623741e-02
6.0301507538e+01 5.7186386254e-03 5.3363989227e-03 8.7516998677e-03 2.5001572351e-02
6.0804020101e+01 5.8180998457e-03 5.2355873090e-03 8.6331882231e-03 2.5176434451e-02
6.1306532663e+01 5.8014648473e-03 5.2024986531e-03 8.5404510894e-03 2.3458044189e-02
6.1809045226e+01 5.5978329847e-03 5.0174344915e-03 8.5101626177e-03 2.2293296837e-02
6.2311557789e+01 5.6459546726e-03 5.0868702740e-03 8.7205256280e-03 2.1322499423e-02
6.2814070352e+01 5.6325736679e-03 4.9411405400e-03 8.7639824361e-03 1.9576571666e-02
6.3316582915e+01 5.4438731260e-03 5.0660277764e-03 8.9846394284e-03 2.1128850285e-02
6.3819095477e+01 5.5180563306e-03 4.9799242263e-03 8.9943165127e-03 2.1569068566e-02
6.4321608040e+01 5.3567486713e-03 5.0385813518e-03 8.7777018971e-03 2.1509532835e-02
6.4824120603e+01 5.1655144227e-03 5.1367389495e-03 8.8088729192e-03 2.0749547868e-02
6.5326633166e+01 5.0599005788e-03 5.2134300091e-03 8.7877251371e-03 2.1410687438e-02
6.5829145729e+01 4.9691007633e-03 5.1072731199e-03 8.8611081072e-03 2.2258675250e-02
6.6331658291e+01 4.9578711384e-03 4.9870512928e-03 8.8774978750e-03 2.2536685233e-02
6.6834170854e+01 4.8921192183e-03 5.0557701022e-03 8.7173981943e-03 2.2871710821e-02
6.7336683417e+01 4.8027973635e-03 4.9933723625e-03 8.4601414268e-03 2.4076731417e-02
6.7839195980e+01 4.6867937498e-03 5.2067883334e-03 8.4906376516e-03 2.4309636501e-02
6.8341708543e+01 4.6598030712e-03 4.8959088811e-03 8.2463690985e-03 2.6902440287e-02
6.8844221106e+01 4.4668667790e-03 4.8091180349e-03 8.1545010502e-03 2.7417045771e-02
6.9346733668e+01 4.5224441273e-03 4.7066147290e-03 8.1112354583e-03 2.6067738287e-02
6.9849246231e+01 4.5622289277e-03 4.7617889880e-03 8.0887059935e-03 2.5615423207e-02
7.0351758794e+01 4.4058167208e-03 4.6698773261e-03 8.3590083916e-03 2.6355174431e-02
7.0854271357e+01 4.3649033349e-03 4.7166510393e-03 8.0605997753e-03 2.6599237787e-02
7.1356783920e+01 4.2348942022e-03 4.6905735932e-03 8.3445191810e-03 2.6590249836e-02
7.1859296482e+01 4.2103627562e-03 4.6903990432e-03 8.5291967301e-03 2.4755402668e-02
7.2361809045e+01 4.1896941273e-03 4.5658691962e-03 8.2575452090e-03 2.5251716408e-02
7.2864321608e+01 4.1228555135e-03 4.5996723126e-03 8.3610782678e-03 2.3896715129e-02
7.3366834171e+01 4.0331315772e-03 4.4095950289e-03 8.3643147622e-03 2.2904855116e-02
7.3869346734e+01 3.9927245126e-03 4.4430837275e-03 8.2657221889e-03 2.2656647445e-02
7.4371859296e+01 3.9243852406e-03 4.3485047049e-03 8.2863121223e-03 2.1462553092e-02
7.4874371859e+01 4.0019925484e-03 4.3681108806e-03 8.1408751140e-03 2.2484543876e-02
7.5376884422e+01 4.0770875605e-03 4.3720392668e-03 8.2602893802e-03 2.1199729807e-02
7.5879396985e+01 3.9512722368e-03 4.3488776849e-03 8.4329162039e-03 2.1347143664e-02
7.6381909548e+01 3.8503775144e-03 4.2705287212e-03 8.2278506971e-03 2.2469539617e-02
7.6884422111e+01 3.8289244894e-03 4.2573565841e-03 7.7572778755e-03 2.1021530170e-02
7.7386934673e+01 3.9380209239e-03 4.1905213771e-03 7.5055904708e-03 1.9311056316e-02
7.7889447236e+01 3.8427036023e-03 4.1055544160e-03 7.5890306093e-03 1.9441546938e-02
7.8391959799e+01 3.8849482530e-03 4.0158187561e-03 7.5553327159e-03 2.0325881692e-02
7.8894472362e+01 3.7692643666e-03 4.0771098145e-03 7.5099999911e-03 1.9120884330e-02
7.9396984925e+01 3.7115537653e-03 4.0386750469e-03 7.3303098010e-03 2.0838676698e-02
